Item #,Warehouse,Category,Manufacturer,Model,Grade,Capacity,Carrier,Color,Lock Status,Model Number,Parts Message,Increment Size,Quantity Available,List Price,Transaction Status,Transaction Quantity,Transaction Price,Expires,New Offer Quantity,New Offer Price
31346RC2,New York,PHONES,Apple,iPhone 13,RC2-Stock,128GB,GSM Unlocked,Black,GSM Unlocked,A2482,,1,1,285,,,,,,
32297RC2,New York,PHONES,Apple,iPhone 13,RC2-Stock,128GB,AT&T,Pink,Locked,A2482,,1,1,220,,,,,,
31418,New York,PHONES,Apple,iPhone 13,B1-Stock,256GB,GSM Unlocked,Black,GSM Unlocked,A2482,,1,100+,335,,,,,,
31430,New York,PHONES,Apple,iPhone 13,B1-Stock,256GB,GSM Unlocked,Green,GSM Unlocked,A2482,,1,34,335,,,,,,
31436,New York,PHONES,Apple,iPhone 13,B1-Stock,256GB,GSM Unlocked,Pink,GSM Unlocked,A2482,,1,12,335,,,,,,
31441,New York,PHONES,Apple,iPhone 13,B1-Stock,256GB,GSM Unlocked,Red,GSM Unlocked,A2482,,1,12,335,,,,,,
31424,New York,PHONES,Apple,iPhone 13,B1-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2482,,1,67,335,,,,,,
34930,New York,PHONES,Apple,iPhone 13,B1-Stock,256GB,GSM Unlocked,Red,GSM Unlocked,A2633,,1,1,335,,,,,,
31437,New York,PHONES,Apple,iPhone 13,B2-Stock,256GB,GSM Unlocked,Pink,GSM Unlocked,A2482,,1,1,310,,,,,,
31442,New York,PHONES,Apple,iPhone 13,B2-Stock,256GB,GSM Unlocked,Red,GSM Unlocked,A2482,,1,3,310,,,,,,
31447,New York,PHONES,Apple,iPhone 13,B2-Stock,256GB,GSM Unlocked,White,GSM Unlocked,A2482,,1,2,310,,,,,,
31425,New York,PHONES,Apple,iPhone 13,B2-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2482,,1,29,310,,,,,,
31419,New York,PHONES,Apple,iPhone 13,B2-Stock,256GB,GSM Unlocked,Black,GSM Unlocked,A2482,,1,100+,310,,,,,,
31431,New York,PHONES,Apple,iPhone 13,B2-Stock,256GB,GSM Unlocked,Green,GSM Unlocked,A2482,,1,28,310,,,,,,
32284,New York,PHONES,Apple,iPhone 13,B2-Stock,256GB,AT&T,Black,Locked,A2482,,1,5,245,,,,,,
32285,New York,PHONES,Apple,iPhone 13,C1-Stock,256GB,AT&T,Black,Locked,A2482,,1,3,225,,,,,,
31432,New York,PHONES,Apple,iPhone 13,C1-Stock,256GB,GSM Unlocked,Green,GSM Unlocked,A2482,,1,11,275,,,,,,
31426,New York,PHONES,Apple,iPhone 13,C1-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2482,,1,60,275,,,,,,
31420,New York,PHONES,Apple,iPhone 13,C1-Stock,256GB,GSM Unlocked,Black,GSM Unlocked,A2482,,1,100+,275,,,,,,
32345,New York,PHONES,Apple,iPhone 13,KFLB,256GB,GSM Unlocked,White,GSM Unlocked,A2482,,1,1,260,,,,,,
32242,New York,PHONES,Apple,iPhone 13,KFLB,256GB,GSM Unlocked,Pink,GSM Unlocked,A2482,,1,1,260,,,,,,
33525,New York,PHONES,Apple,iPhone 13,KFLB,256GB,GSM Unlocked,Blue,GSM Unlocked,A2482,,1,2,260,,,,,,
33720,New York,PHONES,Apple,iPhone 13,KFLB,256GB,GSM Unlocked,Black,GSM Unlocked,A2482,,1,9,260,,,,,,
37998,New York,PHONES,Apple,iPhone 13,KFLB,256GB,GSM Unlocked,Green,GSM Unlocked,A2482,,1,1,260,,,,,,
60487BK,New York,PHONES,Apple,iPhone 13,PGL,256GB,GSM Unlocked,Black,GSM Unlocked,A2482,,1,2,245,,,,,,
60487BL,New York,PHONES,Apple,iPhone 13,PGL,256GB,GSM Unlocked,Blue,GSM Unlocked,A2482,,1,2,245,,,,,,
60487W,New York,PHONES,Apple,iPhone 13,PGL,256GB,GSM Unlocked,White,GSM Unlocked,A2482,,1,3,245,,,,,,
64989,New York,PHONES,Apple,iPhone 13,PLB,256GB,GSM Unlocked,Pink,GSM Unlocked,A2482,,1,1,235,,,,,,
65347,New York,PHONES,Apple,iPhone 13,PLB,256GB,GSM Unlocked,Black,GSM Unlocked,A2482,,1,3,235,,,,,,
38152,New York,PHONES,Apple,iPhone 13,PLCD,256GB,GSM Unlocked,Mixed,GSM Unlocked,A2482,,1,2,195,,,,,,
31442RC2,New York,PHONES,Apple,iPhone 13,RC2-Stock,256GB,GSM Unlocked,Red,GSM Unlocked,A2482,,1,1,305,,,,,,
